unixTime,bid,ask,tradeSize
1499558413,245.43,245.44,5
1499558415,245.4354076,245.5891493,5
1499558417,245.4354076,245.5891493,5
1499558418,245.44,245.5792166,5
1499558419,245.44,245.5792166,5
1499558420,245.44,245.569284,5
1499558421,245.44,245.5690688,5
1499558422,245.44,245.5590579,5
1499558423,245.44,245.5590579,5
1499558424,245.44,245.5590579,5
1499558425,245.44,245.5590579,5
1499558426,245.44,245.5590579,5
1499558427,245.44,245.5590579,5
1499558428,245.44,245.5590579,5
1499558429,245.44,245.5590579,5
1499558430,245.44,245.5590579,5
1499558431,245.44,245.5590579,5
1499558432,245.44,245.5590579,5
1499558433,245.44,245.5590579,5
1499558434,245.44,245.5986582,5
1499558435,245.4512539,245.5891039,5
1499558436,245.4512539,245.5891039,5
1499558437,245.46,245.5891039,5
1499558438,245.46,245.5791866,5
1499558439,245.46,245.5791866,5
1499558440,245.46,245.5791866,5
1499558442,245.46,245.5791866,5
1499558443,245.46,245.5791866,5
1499558445,245.46,245.578991,5
1499558446,245.46,245.5788932,5
1499558450,245.46,245.5690086,5
1499558451,245.46,245.5690086,5
1499558452,245.46,245.5690086,5
1499558453,245.46,245.5690086,5
1499558454,245.46,245.5788932,5
1499558455,245.46,245.5986625,5
1499558456,245.46,245.6283164,5
1499558457,245.46,245.6283164,5
1499558458,245.46,245.6283164,5
1499558459,245.46,245.6184318,5
1499558460,245.46,245.6085472,5
1499558461,245.46,245.6085472,5
1499558462,245.46,245.6085472,5
1499558463,245.46,245.6085472,5
1499558464,245.46,245.6085472,5
1499558465,245.46,245.6085472,5
1499558466,245.46,245.6085472,5
1499558470,245.46,245.6085472,5
1499558472,245.46,245.6085472,5
1499558473,245.46,245.6085472,5
1499558474,245.46,245.6085472,5
1499558475,245.46,245.6085472,5
1499558476,245.46,245.6085472,5
1499558477,245.46,245.6085472,5
1499558491,245.46,245.5887779,5
1499558492,245.46,245.5887779,5
1499558493,245.46,245.5788932,5
1499558494,245.46,245.5788932,5
1499558495,245.46,245.5492393,5
1499558496,245.46,245.5492393,5
1499558497,245.46,245.5393547,5
1499558498,245.46,245.52947,5
1499558499,245.46,245.5195854,5
1499558500,245.46,245.5097008,5
1499558501,245.46,245.5097219,5
1499558502,245.46,245.5097219,5
1499558503,245.46,245.4995745,5
1499558504,245.46,245.4799266,5
1499558505,245.46,245.4799266,5
1499558506,245.46,245.6061769,5
1499558507,245.46,245.5964907,5
1499558508,245.46,245.5868044,5
1499558509,245.46,245.5771182,5
1499558510,245.46,245.5577457,5
